text,label
"URGENT: Server is down, production is affected, please respond immediately",Urgent
"Critical bug in payment gateway, needs fix before end of day, escalating now",Urgent
"Client escalation - immediate action required on invoice mismatch",Urgent
"System outage reported by multiple users, please attend to this on priority",Urgent
"This is time sensitive, we need approval within the next hour",Urgent
"Emergency deployment failed, all hands needed right now",Urgent
"Action required immediately: security breach detected on server 3",Urgent
"Please respond ASAP, customer is threatening to cancel the contract",Urgent
"High priority ticket assigned to you, SLA breach in 30 minutes",Urgent
"Immediate attention needed - database backup failed last night",Urgent
"Congratulations! You have won a lottery of 1000000 dollars, claim now",Spam
"Get rich quick with this one simple trick, click here now",Spam
"Limited time offer, buy one get one free, click this link to claim",Spam
"You have been selected for a free iPhone, verify your details now",Spam
"Earn money from home with no investment, guaranteed income",Spam
"Your account will be suspended, click here to verify your password",Spam
"Hot singles in your area waiting to chat with you now",Spam
"Free discount coupon worth 500 dollars, click to redeem instantly",Spam
"Work from home and earn 5000 dollars weekly, no experience needed",Spam
"Claim your free gift card now, offer expires in 24 hours",Spam
"Let's schedule a meeting tomorrow at 10 AM to discuss the project timeline",Meeting
"Can we set up a call this week to review the design document",Meeting
"Reminder: team sync meeting scheduled for Friday 3 PM on Zoom",Meeting
"Please join the client meeting scheduled at 11 AM in conference room 2",Meeting
"Inviting you to a discussion on next quarter roadmap planning",Meeting
"Weekly standup meeting rescheduled to Monday 9 AM, please confirm availability",Meeting
"Can we have a quick 15 minute call to align on requirements",Meeting
"Meeting invite: sprint retrospective on Thursday afternoon",Meeting
"Kindly confirm your availability for the interview panel meeting",Meeting
"Calendar invite sent for the budget review meeting next week",Meeting
"The project module for user authentication has been completed and deployed",Project Update
"Sprint 5 status update: 80 percent of tasks completed, testing in progress",Project Update
"Weekly progress report attached, all milestones on track for this phase",Project Update
"Backend API integration is done, moving to frontend testing next",Project Update
"Update on the client project: UI design phase completed successfully",Project Update
"Bug fixing phase completed, ready to move to UAT next week",Project Update
"Database migration task completed, verified in staging environment",Project Update
"Status update: feature branch merged to main, deployment scheduled tonight",Project Update
"Monthly project summary shared with stakeholders, all tasks on schedule",Project Update
"Testing phase for module 3 completed with no critical issues found",Project Update
"Thank you for your email, I will get back to you soon",General
"Please find attached the requested document for your reference",General
"Hope you are doing well, just checking in on the previous conversation",General
"Here is the invoice for last month's services as requested",General
"Thanks for sharing the notes, they were really helpful",General
"Attaching the leave application for approval, thank you",General
"Just a quick note to confirm receipt of your last email",General
"Looking forward to hearing from you regarding the next steps",General
"Please let me know if you need any further information from my end",General
"Sharing the updated contact list for the team as discussed",General
